cohort,schoolid_ulcs,schoolname,sector,rate_type,group,subgroup,denom,num,score
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,6,s,s
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Ethnicity,White,3,s,s
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Gender,Female,122,103,84.43
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,Gender,Male,154,107,69.48
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,220,179,81.36
2010-2011,1010,John Bartram High School,District,5-Year Graduation Rate,IEP,IEP,56,31,55.36
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,All Students,All Students,273,212,77.66
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,ELL,EL,36,24,66.67
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,ELL,Non-EL,237,188,79.32
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,203,161,79.31
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,70,51,72.86
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Ethnicity,Asian,13,10,76.92
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,245,191,77.96
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,6,s,s
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,6,s,s
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Ethnicity,White,3,s,s
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Gender,Female,121,103,85.12
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,Gender,Male,152,109,71.71
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,219,179,81.74
2010-2011,1010,John Bartram High School,District,6-Year Graduation Rate,IEP,IEP,54,33,61.11
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,All Students,All Students,182,123,67.58
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,ELL,EL,8,s,s
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,ELL,Non-EL,174,s,s
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,134,95,70.9
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,48,28,58.33
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,Ethnicity,Asian,4,s,s
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,174,118,67.82
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,3,s,s
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,Gender,Female,106,88,83.02
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,Gender,Male,76,35,46.05
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,144,101,70.14
2010-2011,1020,West Philadelphia High School,District,4-Year Graduation Rate,IEP,IEP,38,22,57.89
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,All Students,All Students,172,126,73.26
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,ELL,EL,6,s,s
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,ELL,Non-EL,166,s,s
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,127,97,76.38
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,45,29,64.44
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,Ethnicity,Asian,4,s,s
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,165,121,73.33
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,2,s,s
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,Gender,Female,103,89,86.41
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,Gender,Male,69,37,53.62
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,137,103,75.18
2010-2011,1020,West Philadelphia High School,District,5-Year Graduation Rate,IEP,IEP,35,23,65.71
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,All Students,All Students,169,128,75.74
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,ELL,EL,6,s,s
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,ELL,Non-EL,163,s,s
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,125,99,79.2
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,44,29,65.91
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,Ethnicity,Asian,4,s,s
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,162,123,75.93
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,2,s,s
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,Gender,Female,102,90,88.24
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,Gender,Male,67,38,56.72
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,135,103,76.3
2010-2011,1020,West Philadelphia High School,District,6-Year Graduation Rate,IEP,IEP,34,25,73.53
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,All Students,All Students,146,104,71.23
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,ELL,EL,9,s,s
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,ELL,Non-EL,137,s,s
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,109,76,69.72
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,37,28,75.68
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,Ethnicity,Black/African American,136,96,70.59
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,7,s,s
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,Ethnicity,White,2,s,s
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,Gender,Female,63,51,80.95
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,Gender,Male,83,53,63.86
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,IEP,Does Not Have IEP,111,91,81.98
2010-2011,1030,High School of the Future,District,4-Year Graduation Rate,IEP,IEP,35,13,37.14
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,All Students,All Students,140,113,80.71
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,ELL,EL,9,s,s
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,ELL,Non-EL,131,s,s
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,104,83,79.81
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,36,30,83.33
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,Ethnicity,Black/African American,129,104,80.62
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,7,s,s
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,Ethnicity,White,3,s,s
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,Gender,Female,61,52,85.25
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,Gender,Male,79,61,77.22
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,IEP,Does Not Have IEP,105,97,92.38
2010-2011,1030,High School of the Future,District,5-Year Graduation Rate,IEP,IEP,35,16,45.71
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,All Students,All Students,140,118,84.29
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,ELL,EL,9,s,s
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,ELL,Non-EL,131,s,s
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,104,87,83.65
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,36,31,86.11
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,Ethnicity,Black/African American,129,107,82.95
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,7,s,s
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,Ethnicity,White,3,s,s
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,Gender,Female,61,55,90.16
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,Gender,Male,79,63,79.75
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,IEP,Does Not Have IEP,105,97,92.38
2010-2011,1030,High School of the Future,District,6-Year Graduation Rate,IEP,IEP,35,21,60
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,All Students,All Students,68,62,91.18
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,ELL,EL,2,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,ELL,Non-EL,66,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,53,47,88.68
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,15,15,100
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Ethnicity,Black/African American,64,59,92.19
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Gender,Female,41,36,87.8
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,Gender,Male,27,26,96.3
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,IEP,Does Not Have IEP,58,52,89.66
2010-2011,1050,Paul Robeson High School for Human Services,District,4-Year Graduation Rate,IEP,IEP,10,10,100
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,All Students,All Students,68,62,91.18
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,ELL,EL,2,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,ELL,Non-EL,66,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,53,47,88.68
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,15,15,100
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Ethnicity,Black/African American,64,59,92.19
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Gender,Female,41,36,87.8
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,Gender,Male,27,26,96.3
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,IEP,Does Not Have IEP,58,52,89.66
2010-2011,1050,Paul Robeson High School for Human Services,District,5-Year Graduation Rate,IEP,IEP,10,10,100
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,All Students,All Students,68,62,91.18
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,ELL,EL,2,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,ELL,Non-EL,66,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,53,47,88.68
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,15,15,100
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Ethnicity,Black/African American,64,59,92.19
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Gender,Female,41,36,87.8
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,Gender,Male,27,26,96.3
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,IEP,Does Not Have IEP,58,52,89.66
2010-2011,1050,Paul Robeson High School for Human Services,District,6-Year Graduation Rate,IEP,IEP,10,10,100
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,All Students,All Students,6,s,s
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,ELL,Non-EL,6,s,s
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,4,s,s
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,2,s,s
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,5,s,s
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,Gender,Female,2,s,s
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,Gender,Male,4,s,s
2010-2011,1060,Communications Technology High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,6,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,All Students,All Students,6,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,ELL,Non-EL,6,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,4,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,2,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,5,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,Gender,Female,2,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,Gender,Male,4,s,s
2010-2011,1060,Communications Technology High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,6,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,All Students,All Students,6,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,ELL,Non-EL,6,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,4,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,2,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,5,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,Gender,Female,2,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,Gender,Male,4,s,s
2010-2011,1060,Communications Technology High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,6,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,All Students,All Students,25,3,12
2010-2011,1080,University City High School,District,4-Year Graduation Rate,ELL,Non-EL,25,3,12
2010-2011,1080,University City High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,15,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,10,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,23,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,Gender,Female,19,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,Gender,Male,6,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,23,s,s
2010-2011,1080,University City High School,District,4-Year Graduation Rate,IEP,IEP,2,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,All Students,All Students,24,3,12.5
2010-2011,1080,University City High School,District,5-Year Graduation Rate,ELL,Non-EL,24,3,12.5
2010-2011,1080,University City High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,14,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,10,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,22,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,Gender,Female,18,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,Gender,Male,6,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,22,s,s
2010-2011,1080,University City High School,District,5-Year Graduation Rate,IEP,IEP,2,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,All Students,All Students,24,3,12.5
2010-2011,1080,University City High School,District,6-Year Graduation Rate,ELL,Non-EL,24,3,12.5
2010-2011,1080,University City High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,14,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,10,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,Ethnicity,Asian,1,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,22,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,Ethnicity,White,1,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,Gender,Female,18,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,Gender,Male,6,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,22,s,s
2010-2011,1080,University City High School,District,6-Year Graduation Rate,IEP,IEP,2,s,s
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,All Students,All Students,135,77,57.04
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,ELL,Non-EL,135,77,57.04
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,107,59,55.14
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,28,18,64.29
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,132,75,56.82
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,Ethnicity,White,2,s,s
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,Gender,Female,70,46,65.71
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,Gender,Male,65,31,47.69
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,108,62,57.41
2010-2011,1100,William L. Sayre High School,District,4-Year Graduation Rate,IEP,IEP,27,15,55.56
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,All Students,All Students,130,83,63.85
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,ELL,Non-EL,130,83,63.85
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,103,65,63.11
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,27,18,66.67
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,127,81,63.78
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,Ethnicity,White,2,s,s
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,Gender,Female,68,49,72.06
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,Gender,Male,62,34,54.84
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,103,67,65.05
2010-2011,1100,William L. Sayre High School,District,5-Year Graduation Rate,IEP,IEP,27,16,59.26
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,All Students,All Students,127,86,67.72
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,ELL,Non-EL,127,86,67.72
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,100,68,68
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,27,18,66.67
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,124,84,67.74
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,Ethnicity,White,2,s,s
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,Gender,Female,68,52,76.47
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,Gender,Male,59,34,57.63
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,100,70,70
2010-2011,1100,William L. Sayre High School,District,6-Year Graduation Rate,IEP,IEP,27,16,59.26
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,All Students,All Students,43,41,95.35
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,ELL,EL,1,s,s
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,ELL,Non-EL,42,s,s
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,28,27,96.43
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,15,14,93.33
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,Ethnicity,American Indian/Alaskan Native,1,s,s
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,Ethnicity,Asian,3,s,s
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,38,37,97.37
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,Ethnicity,Multi Racial/Other,1,s,s
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,Gender,Female,22,22,100
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,Gender,Male,21,19,90.48
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,41,s,s
2010-2011,1190,Motivation High School,District,4-Year Graduation Rate,IEP,IEP,2,s,s
2010-2011,1190,Motivation High School,District,5-Year Graduation Rate,All Students,All Students,43,41,95.35
2010-2011,1190,Motivation High School,District,5-Year Graduation Rate,ELL,EL,1,s,s
